Цель: Получить список всех товаров из конкретного заказа (например, заказ с ID = 3), отсортированный по цене по убыванию.
Ожидаемый результат: Таблица с колонками product_name, quantity, price, отсортированная по убыванию цены.

SELECT product_name, quantity, price
FROM order_items
WHERE order_id = 3
ORDER BY price DESC;


"product_name","quantity","price"
"Товар 285",8,"99964.29"
"Товар 270",8,"99896.66"
"Товар 361",1,"99752.82"
"Товар 318",2,"99299.05"
"Товар 326",4,"99155.38"
"Товар 325",1,"99092.53"
"Товар 53",10,"98977.33"
"Товар 91",3,"98946.78"
"Товар 188",5,"98831.25"
"Товар 494",4,"98738.06"
"Товар 405",3,"98706.91"
"Товар 279",1,"98658.02"
"Товар 308",10,"98633.58"
"Товар 436",4,"98447.93"
"Товар 10",1,"98296.92"
"Товар 276",1,"98047.36"
"Товар 141",10,"98019.15"
"Товар 160",9,"98007.82"
"Товар 376",4,"97964.08"
"Товар 102",10,"97940.95"
"Товар 492",3,"97635.04"
"Товар 401",8,"97584.73"
"Товар 310",6,"97555.78"
"Товар 334",5,"97476.08"
"Товар 210",4,"97323.84"
"Товар 430",9,"97198.20"
"Товар 468",8,"97196.99"
"Товар 49",10,"97154.41"
"Товар 116",5,"97153.67"
"Товар 165",8,"97116.88"
"Товар 412",6,"97049.22"
"Товар 217",9,"97020.78"
"Товар 26",9,"97017.12"
"Товар 340",1,"96844.21"
"Товар 475",10,"96685.97"
"Товар 266",8,"96626.86"
"Товар 84",6,"96566.46"
"Товар 333",1,"96505.96"
"Товар 141",1,"96452.50"
"Товар 79",1,"96390.21"
"Товар 211",2,"96379.60"
"Товар 383",2,"96364.25"
"Товар 21",8,"96356.53"
"Товар 369",5,"96345.99"
"Товар 174",7,"96243.46"
"Товар 279",8,"96196.16"
"Товар 300",10,"95859.03"
"Товар 172",5,"95506.39"
"Товар 343",2,"95488.89"
"Товар 110",1,"95320.13"
"Товар 258",4,"95241.35"
"Товар 465",9,"95205.94"
"Товар 476",7,"94988.04"
"Товар 172",5,"94935.40"
"Товар 72",3,"94770.99"
"Товар 427",3,"94722.33"
"Товар 373",5,"94716.73"
"Товар 351",9,"94674.31"
"Товар 413",9,"94537.62"
"Товар 166",8,"94387.39"
"Товар 153",5,"94303.98"
"Товар 367",10,"94286.34"
"Товар 250",3,"94244.51"
"Товар 242",1,"94208.54"
"Товар 245",3,"94161.52"
"Товар 317",3,"94160.22"
"Товар 267",4,"94057.68"
"Товар 151",5,"94005.41"
"Товар 50",3,"93975.35"
"Товар 391",5,"93958.19"
"Товар 63",2,"93948.03"
"Товар 9",8,"93509.44"
"Товар 362",3,"93496.97"
"Товар 466",10,"93473.41"
"Товар 49",8,"93392.97"
"Товар 322",5,"93100.43"
"Товар 6",7,"92958.25"
"Товар 41",10,"92957.56"
"Товар 120",7,"92794.90"
"Товар 400",6,"92775.67"
"Товар 315",6,"92567.54"
"Товар 279",6,"92400.01"
"Товар 423",7,"92323.07"
"Товар 355",5,"92259.44"
"Товар 338",9,"92239.61"
"Товар 309",2,"92187.75"
"Товар 349",10,"92171.73"
"Товар 132",6,"91800.57"
"Товар 213",1,"91660.37"
"Товар 267",2,"91298.92"
"Товар 197",9,"91222.82"
"Товар 13",1,"91177.08"
"Товар 358",5,"91107.16"
"Товар 291",5,"90953.10"
"Товар 63",2,"90871.13"
"Товар 423",8,"90852.90"
"Товар 323",10,"90735.29"
"Товар 355",10,"90499.82"
"Товар 123",4,"90182.94"
"Товар 230",9,"89987.69"
"Товар 185",10,"89803.31"
"Товар 492",5,"89634.23"
"Товар 176",5,"89542.90"
"Товар 485",9,"89534.05"
"Товар 408",6,"89512.93"
"Товар 101",6,"89511.69"
"Товар 161",2,"89494.21"
"Товар 407",6,"89490.59"
"Товар 16",4,"89432.28"
"Товар 1",2,"89301.00"
"Товар 364",6,"89297.04"
"Товар 368",10,"88850.26"
"Товар 347",4,"88842.15"
"Товар 104",9,"88673.95"
"Товар 98",2,"88645.90"
"Товар 315",1,"88537.04"
"Товар 498",3,"88467.54"
"Товар 340",7,"88285.99"
"Товар 156",2,"88241.89"
"Товар 155",1,"87945.76"
"Товар 207",10,"87797.41"
"Товар 237",8,"87784.28"
"Товар 111",8,"87605.02"
"Товар 204",5,"87586.13"
"Товар 417",7,"87559.37"
"Товар 277",7,"87251.14"
"Товар 246",6,"87070.07"
"Товар 40",1,"87038.96"
"Товар 150",1,"87024.26"
"Товар 301",4,"86694.79"
"Товар 309",3,"86656.52"
"Товар 461",6,"86650.85"
"Товар 11",8,"86496.31"
"Товар 97",4,"86427.85"
"Товар 75",4,"86356.72"
"Товар 16",10,"86269.41"
"Товар 367",8,"86113.63"
"Товар 128",9,"85852.97"
"Товар 425",5,"85738.17"
"Товар 70",8,"85683.03"
"Товар 437",10,"85618.67"
"Товар 374",1,"85615.85"
"Товар 186",10,"85590.85"
"Товар 210",5,"85465.16"
"Товар 97",10,"85454.53"
"Товар 337",8,"85412.83"
"Товар 457",7,"85062.33"
"Товар 439",2,"85000.25"
"Товар 167",2,"84915.68"
"Товар 165",9,"84890.58"
"Товар 495",8,"84853.30"
"Товар 467",9,"84646.20"
"Товар 363",4,"84303.19"
"Товар 358",9,"84108.93"
"Товар 198",3,"84064.30"
"Товар 304",2,"83941.30"
"Товар 151",3,"83799.90"
"Товар 103",2,"83776.07"
"Товар 438",5,"83646.15"
"Товар 112",6,"83611.60"
"Товар 419",4,"83593.56"
"Товар 454",3,"83516.69"
"Товар 496",8,"83391.85"
"Товар 195",10,"83391.80"
"Товар 240",10,"83309.48"
"Товар 13",5,"83270.15"
"Товар 116",3,"83242.86"
"Товар 55",2,"83063.36"
"Товар 207",7,"83024.84"
